CIK,Series,Name,Ticker
0001424958,S000022757,Direxion Daily MSCI India Bull 2X Shares,INDL
0001424958,S000022758,Direxion Daily Latin America Bull 2X Shares,LBJ
0001424958,S000022760,Direxion Daily Energy Bull 2X Shares,ERX
0001424958,S000022761,Direxion Daily Financial Bull 3X Shares,FAS
0001424958,S000022762,Direxion Daily Real Estate Bull 3X Shares,DRN
0001424958,S000022763,Direxion Daily Homebuilders & Supplies Bull 3X Shares,NAIL
0001424958,S000022765,Direxion Daily S&P 500(R) Bear 3X Shares,SPXS
0001424958,S000022767,Direxion Daily S&P 500(R) Bull 3X Shares,SPXL
0001424958,S000022769,Direxion Daily Mid Cap Bear 3X Shares,MIDZ
0001424958,S000022770,Direxion Daily Small Cap Bear 3X Shares,TZA
0001424958,S000022772,Direxion Daily MSCI Developed Markets Bear 3X Shares,DPK
0001424958,S000022773,Direxion Daily MSCI Emerging Markets Bear 3X Shares,EDZ
0001424958,S000022774,Direxion Daily BRIC Bear 3X Shares,BRIS
0001424958,S000022775,Direxion Daily FTSE China Bear 3X Shares,YANG
0001424958,S000022776,Direxion Daily India Bear 3X Shares,INDZ
0001424958,S000022777,Direxion Daily Latin America Bear 3X Shares,LHB
0001424958,S000022778,Direxion Daily Mid Cap Bull 3X Shares,MIDU
0001424958,S000022780,Direxion Daily Energy Bear 2X Shares,ERY
0001424958,S000022781,Direxion Daily Financial Bear 3X Shares,FAZ
0001424958,S000022782,Direxion Daily Real Estate Bear 3X Shares,DRV
0001424958,S000022783,Direxion Daily Homebuilders & Supplies Bear 3X Shares,CLAW
0001424958,S000022786,Direxion Daily Small Cap Bull 3X Shares,TNA
0001424958,S000022788,Direxion Daily MSCI Developed Markets Bull 3X Shares,DZK
0001424958,S000022789,Direxion Daily MSCI Emerging Markets Bull 3X Shares,EDC
0001424958,S000022790,Direxion Daily BRIC Bull 3X Shares,BRIL
0001424958,S000022791,Direxion Daily FTSE China Bull 3X Shares,YINN
0001424958,S000023809,Direxion Daily Technology Bull 3X Shares,TECL
0001424958,S000023810,Direxion Daily Technology Bear 3X Shares,TECS
0001424958,S000025251,Direxion Daily 2-Year Treasury Bull 3X Shares,TWOL
0001424958,S000025252,Direxion Daily 2-Year Treasury Bear 3X Shares,TWOZ
0001424958,S000025253,Direxion Daily 7-10 Year Treasury Bear 1X Shares,TYNS
0001424958,S000025254,Direxion Daily 20+ Year Treasury Bear 1X Shares,TYBS
0001424958,S000025255,Direxion Daily 7-10 Year Treasury Bull 3X Shares,TYD
0001424958,S000025256,Direxion Daily 7-10 Year Treasury Bear 3X Shares,TYO
0001424958,S000025257,Direxion Daily 20+ Year Treasury Bull 3X Shares,TMF
0001424958,S000025258,Direxion Daily 20+ Year Treasury Bear 3X Shares,TMV
0001424958,S000027476,Direxion Daily Utilities Bull 3X Shares,UTSL
0001424958,S000027477,Direxion Daily Utilities Bear 3X Shares,UTLS
0001424958,S000027478,Direxion Daily Consumer Discretionary Bear 3X Shares,PASS
0001424958,S000027479,Direxion Daily Consumer Staples Bear 3X Shares,LACK
0001424958,S000027480,Direxion Daily Healthcare Bear 3X Shares,SICK
0001424958,S000027482,Direxion Daily Basic Materials Bull 3X Shares,MATL
0001424958,S000027483,Direxion Daily Basic Materials Bear 3X Shares,MATS
0001424958,S000027484,Direxion Daily Consumer Discretionary Bull 3X Shares,WANT
0001424958,S000027485,Direxion Daily Consumer Staples Bull 3X Shares,NEED
0001424958,S000027486,Direxion Daily Healthcare Bull 3X Shares,CURE
0001424958,S000027487,Direxion Daily Retail Bull 3X Shares,RETL
0001424958,S000027488,Direxion Daily Retail Bear 3X Shares,RETS
0001424958,S000027920,Direxion Daily Semiconductor Bull 3X Shares,SOXL
